date,target,market_1,market_2,market_3,market_4,market_5,should_be_impacted_1,should_be_impacted_2,should_be_impacted_3,should_be_impacted_4,should_be_impacted_5,should_be_impacted_6,should_be_impacted_7,should_be_impacted_8,should_be_impacted_9,should_be_impacted_10,should_be_impacted_11,should_be_impacted_12,should_be_impacted_13,should_be_impacted_14,should_be_impacted_15,should_be_impacted_16,should_be_impacted_17,should_be_impacted_18,should_be_impacted_19,should_be_impacted_20,should_be_impacted_21,should_be_impacted_22,should_be_impacted_23,should_be_impacted_24,should_be_impacted_25,should_be_impacted_26,should_be_impacted_27,should_be_impacted_28,should_be_impacted_29,should_be_impacted_30,some_times_impacted_some_times_not_1,some_times_impacted_some_times_not_2,some_times_impacted_some_times_not_3,some_times_impacted_some_times_not_4,some_times_impacted_some_times_not_5,may_be_not_impacted_2,may_be_not_impacted_3,may_be_not_impacted_4,may_be_not_impacted_5,may_be_not_impacted_6,may_be_not_impacted_7,may_be_not_impacted_8,may_be_not_impacted_9,may_be_not_impacted_10,may_be_not_impacted_11,may_be_not_impacted_12
2013-12-18,21110.6,5855898.43,10490065.56,6400020.26,17303908.8,8277376.14,202417.9563,501303.9618,281527.6807,568094.1416,74830.74986,160614.74,-19459.44,365137.5,105528.8,797323.29,304740.164,90593.932,46478.544,21691.748,10718.84,36896.832,2775.52,62086.644,1045.024,5218.75,274.56,1808.04,709.361,1395,180.25,29729.92,1676.25,134385.48,4030.82,359.34,2179.71,1185.8,848,2113.02,272.65,2.74,2.46,20.3,11.76,13.53,27.36,23.53,41.25,0,23.73,9.24
2013-12-19,19985.2,5233946.43,8856544.32,5772767.84,13711773.12,7417711.7,195205.365,456269.4952,222715.469,447511.6495,52075.27205,127061.74,-35941.36,332335.5,91895.32,725696.46,265370.192,71668.532,36613.104,15948.688,7459.32,29065.176,2040.672,43206.408,1065.832,5758.75,263.64,1808.04,768.434,1508.1,177.16,29490.56,1622.61,139194.72,3886.94,359.34,1721.07,929.28,691,1696.35,285.95,6.85,2.05,13.05,12.25,14.76,28.5,28.96,37.95,11.94,31.64,6.93
2013-12-20,19602.36,4923800.98,8346249.6,5429014.24,12574660.8,6999350.99,205468.9184,496171.9931,283458.8053,516390.2839,73583.62189,161716.56,-10220.21,361399.5,108999.22,789161.28,314761.904,91215.408,42248.4,20904.864,10540.2,33538.806,2674.816,61051.194,1169.872,6000,266.76,1992.87,775.806,1570.2,178.19,33619.52,1826.74,148948.74,4740.41,404.54,1721.07,938.96,703.5,1816.32,260.68,5.48,1.23,23.2,10.78,9.84,45.03,27.15,34.65,7.96,28.25,3.85
2013-12-21,21955.16,6061035.24,10408901.88,6624328.74,17318726.4,8561364.18,210050.9823,516636.439,272848.9794,548316.2192,68377.01621,155663.67,-12931.1,376305.3,105844.16,821709.96,305650.852,87801.306,44860.416,20134.308,9794.4,35612.262,2576.224,56732.04,1060.052,6250,304.2,2020.32,791.326,1646.1,187.46,34335.84,1841.64,93330.09,4641.22,383.07,2108.34,1113.2,845.25,2143.98,313.88,4.11,3.28,24.65,10.78,11.07,44.46,25.34,36.3,5.97,38.42,8.47
2013-12-22,22388.32,6139137.45,10323537.12,6646342,16883211.84,8662216.32,217223.1039,530008.3888,269956.0789,525815.4663,65907.33423,154013.61,-12854.66,386045.1,107222.4,842977.83,309630.94,86870.598,,19199.216,9440.64,34150.914,2456.576,54682.38,1138.66,5982.5,304.2,1914.18,773.575,1547.4,185.4,34089.44,1753.73,8869.5,4656.48,413.58,2124.72,1101.1,819.5,2004.66,276.64,6.85,1.23,31.9,12.74,11.07,53.01,23.53,49.5,3.98,39.55,5.39
2013-12-23,23793.2,6368548.92,10494566.16,6864796.06,17262816.96,8962794.02,209871.1171,536184.05,308934.5045,586525.6094,83201.25162,176251.15,1897.35,390543.3,112615.64,852800.67,325205.016,99413.57,47986.512,23062.672,11917.84,38093.958,2950.912,69031.062,1086.64,5950,290.16,1901.37,753.593,1534.2,177.16,34395.68,1810.35,7982.55,4603.07,414.71,2163.33,1165.23,860.25,2061.42,315.21,4.11,1.64,26.1,6.86,8.61,51.87,18.1,46.2,3.98,35.03,12.32
2013-12-24,25534.68,6277351.14,10540578.36,6755261.98,17241042.24,8842515.26,211051.482,523472.3366,275416.2392,538910.9843,70459.65849,157128.61,-9905.35,381284.4,106394.58,832582.29,307240.384,88627.598,44090.928,20259.908,10092.72,35001.414,2592.288,58459.914,1035.776,5467.5,258.96,1767.78,685.887,1388.1,161.71,31856,1639,6833.16,4264.08,358.21,2094.3,1064.8,831,1941.45,299.25,8.22,2.46,21.75,11.27,11.07,48.45,36.2,49.5,1.99,44.07,7.7
2013-12-25,22972.44,6392187.39,10235035.2,6779795.72,17101081.92,8971711.67,183914.3322,451630.5415,219133.4222,438535.2853,51420.99063,125018.3,-28299.18,328956.6,87366.4,718318.29,252291.568,70515.94,35878.704,15471.408,7365.6,28482.174,1979.616,42663.726,931.736,5346.25,265.2,1608.57,696.363,1401.3,179.22,31051.68,1482.55,10564.02,3752.87,326.57,1962.09,1005.51,768.5,1762.14,273.98,4.11,2.87,24.65,13.72,7.38,46.74,27.15,52.8,3.98,32.77,10.78
2013-12-26,21587.96,5498372.08,9004057.92,5996718.54,13801313.28,7752011.08,188242.3366,492034.7038,312084.8883,551507.8154,88684.31424,178048.06,6859.58,358386,109133.54,782580.75,315149.9,100427.108,45121.536,23355.32,12703.24,35819.532,2988.352,73580.67,842.724,5505,229.32,1474.98,678.806,1353,140.08,29103.36,1536.19,4965.3,3458.57,336.74,1666.08,877.25,671.75,1602.18,239.4,2.74,1.23,23.2,13.72,12.3,43.32,25.34,52.8,5.97,41.81,10.01
2013-12-27,21885.12,5131159.37,8440217.76,5549938.54,12827308.8,7254167.81,186124.4248,433841.6389,177852.793,356241.9732,35334.26853,101467.12,-41184.78,315999.6,81865.12,690024.84,236405.188,57232.016,29145.888,11887.412,5061.32,23137.38,1521.024,29316.51,1014.968,5630,240.24,1696.41,716.248,1442.1,184.37,32758.88,1683.7,9131.67,4318.58,364.99,1553.76,745.36,620,1389.33,231.42,8.22,1.23,20.3,13.23,20.91,54.72,34.39,47.85,7.96,49.72,6.93
2013-12-28,23009.84,6355786.7,10341263.4,6666103.56,17044246.08,8928905.46,199474.9133,512559.6953,305693.2444,557492.0582,85041.22614,174401.73,7027.93,373335.9,107584.48,815226.03,310676.324,98370.414,45611.136,22299.652,12181.4,36208.242,2853.28,70557.156,1027.684,5472.5,260.52,1645.17,690.446,1439.7,180.25,32202.72,1670.29,6391.44,4189.96,359.34,2012.4,1072.06,793,1913.07,256.69,6.85,3.69,21.75,18.62,18.45,62.13,21.72,51.15,5.97,37.29,10.78
2013-12-29,23931.92,6801562.66,11001486.6,6898028.66,18613396.8,9552549.43,195275.0628,473623.0454,227145.6962,452797.7306,53964.39447,129589.34,-22103.9,344975.4,91785.82,753297.15,265053.716,73094.212,37045.584,16044.772,7729.92,29408.526,2052.96,44773.92,1060.052,5605,241.8,1793.4,710.331,1419.9,178.19,31954.56,1644.96,6613.11,4221.57,354.82,2013.57,1050.28,804.5,1964.67,231.42,6.85,2.05,29,15.19,9.84,58.14,32.58,52.8,5.97,45.2,11.55
2013-12-30,24397.72,7318682.3,11416775.76,7057128.62,20185290.24,10257265.79,194386.9787,477806.4648,230606.5744,465703.7475,54978.06991,131564.25,-18761.47,348022.5,92255.94,759950.82,266411.404,74208.15,38101.488,16292.204,7875.12,30246.678,2084.64,45615.024,1029.996,5652.5,223.08,1798.89,807.816,1500.9,185.4,30940.8,1552.58,7213.32,4011.2,351.43,2017.08,1027.29,793.5,1865.34,293.93,8.22,3.28,31.9,17.15,23.37,54.72,39.82,56.1,9.95,47.46,18.48
2013-12-31,24670.4,7168777.63,11349937.56,6861593.84,20308985.28,10039387.56,195124.6433,504655.9862,278011.9183,497142.5783,67168.797,158609.57,-1237.6,341848.5,99865.46,802654.92,310092.244,89462.926,37826.496,17545.064,8947.84,32288.634,2413.92,55729.512,1010.344,5722.5,221.52,1756.8,838.759,1558.8,148.32,31153.76,1580.89,6274.53,3977.41,363.86,2034.63,1051.49,775.5,1822.77,263.34,6.85,2.87,30.45,13.72,13.53,59.28,23.53,59.4,3.98,61.02,10.01
2014-01-01,25202.84,7132999.57,11038099.8,6719088.82,19920288,9991273.97,201644.7539,NA,260797.5076,469966.8234,58468.82595,148788.42,-7162.61,343459.2,98599.64,806436.81,306161.624,83923.356,35758.752,15997.672,7788.88,30523.626,2201.024,48511.098,920.176,5517.5,229.32,1672.62,818.389,1470.9,136.99,28316.64,1341,4461.48,3295.07,277.98,1937.52,949.85,753,1683.45,303.24,12.33,3.28,20.3,17.64,9.84,49.02,32.58,46.2,7.96,39.55,7.7
2014-01-02,24904.32,6417940.09,9813772.8,6033646.42,17089874.88,9012936.99,181455.8613,440359.1213,199871.1969,355472.6012,35668.56013,114029.47,-28553.07,298294.5,84763.22,700390.71,263198.368,64317.746,27047.136,11339.796,4751.56,23087.358,1560.16,29593.692,817.292,5390,188.76,1504.26,829.253,1423.2,146.26,26361.28,1247.13,8059.77,3085.79,244.08,1602.9,788.92,604.25,1329.99,259.35,9.59,2.46,20.3,13.72,12.3,47.31,28.96,46.2,5.97,30.51,6.16
2014-01-03,24231.8,5873231.5,9059359.92,5547076.3,15541887.36,8285973.44,176739.237,468371.9694,305755.2944,481324.0154,78897.57346,174437.33,10835.37,317270.1,102884.74,744945.39,319467.324,98390.494,36622.896,19353.076,10510.28,31261.23,2662.656,65460.618,1071.612,5828.75,235.56,1864.77,924.313,1665,140.08,31211.84,1461.69,6477.03,4078.78,366.12,1400.49,699.38,514.25,1176.48,202.16,10.96,1.23,21.75,17.15,8.61,64.98,47.06,56.1,9.95,50.85,11.55
2014-01-04,26711.08,7824374.25,11310702,7109583.44,18992769.6,10944672.82,203513.5138,515168.5546,266147.4923,475983.2396,56460.63217,151840.23,-5299.84,348969.6,103189.88,819375,320414.964,85644.714,36216.528,15758.404,7521.36,30914.352,2168.096,46844.82,1001.096,5817.5,241.8,1862.94,934.789,1608,150.38,30546.56,1482.55,6657.39,3907.65,377.42,1921.14,959.53,720.5,1655.07,256.69,8.22,2.05,39.15,21.56,12.3,67.26,30.77,52.8,5.97,36.16,21.56
2014-01-05,28003.08,8730861.38,11989358.16,7600893.7,21117804.48,12191930.96,206252.5888,517459.5567,276358.8788,480283.7438,60807.31475,157666.17,-1815.45,350521.5,105660.2,823018.89,328085.484,88930.806,36543.744,16699.776,8100.4,31193.694,2297.6,50451.372,922.488,5895,254.28,1959.93,925.283,1562.4,150.38,30747.2,1439.34,5538.51,3732.16,324.31,1916.46,946.22,713,1594.44,297.92,15.07,4.1,26.1,17.15,15.99,59.28,34.39,47.85,7.96,39.55,19.25
2014-01-06,27964.32,8277360.74,11696546.16,7272286.12,22552253.76,11566361.91,192296.1193,490727.0655,254331.9247,429653.618,52870.32521,145099.37,-9722.44,332413.2,97019.92,780501.09,301256.544,81842.566,32691.408,14461.584,7043.08,27905.346,1989.664,43865.91,954.856,5775,240.24,1694.58,906.368,1563,153.47,30970.72,1405.07,7805.16,3406.25,361.6,2004.21,1047.86,738,1736.34,293.93,8.22,0.82,34.8,15.19,13.53,55.29,28.96,57.75,5.97,49.72,17.71
2014-01-07,27673.28,7984689.61,11560539.12,7090435.98,22008947.52,11164698.14,187380.5766,491170.9666,301714.5596,463591.8085,74208.20979,172132.23,7871.5,343446.6,107175.68,781206.96,322391.3,97090.314,36411.552,18806.716,10204.48,30109.59,2506.624,61569.45,832.32,5687.5,258.96,1601.25,818.971,1443.9,147.29,29724.64,1376.76,7315.11,3312.51,362.73,1994.85,995.83,729.25,1686.03,304.57,4.11,2.05,33.35,16.66,7.38,49.02,25.34,52.8,3.98,50.85,10.78
2014-01-08,27406.72,7858085.54,11224646.16,6978917.2,21451748.16,10977698.67,176797.1069,461796.0921,282261.3187,441691.1422,70442.12395,161033.93,-288.47,322906.5,98957.34,734486.37,297670.412,90830.374,34691.424,17652.452,9686.6,28687.176,2352.768,58445.046,786.08,5721.25,258.96,1473.15,882.991,1492.5,151.41,29022.4,1285.87,7538.67,2950.63,300.58,1752.66,842.16,651.5,1411.26,281.96,5.48,4.1,29,16.66,7.38,46.74,27.15,49.5,3.98,32.77,8.47
2014-01-09,27282.96,7127161.99,10136251.32,6360199.88,18992216.64,9996618.6,183190.7498,469610.5715,293628.764,429660.3208,72569.94645,167519.36,3826.55,328370.7,104077.56,746915.34,313072.244,94488.448,33746.496,18137.268,9979.2,27905.724,2417.408,60210.09,773.364,5503.75,248.04,1370.67,835.655,1436.7,138.02,27283.52,1250.11,9954.09,2787.13,327.7,1536.21,684.86,571.25,1119.72,263.34,8.22,2.87,26.1,11.76,9.84,50.16,30.77,44.55,1.99,44.07,5.39
2014-01-10,25264.04,6357740.47,9167970.24,5749841.44,16474708.8,8950343.58,171867.2101,473559.8569,355640.8997,511735.8729,99841.27157,202897.75,24737.44,331132.2,113541.28,753196.41,341539.588,114443.45,40192.896,23280.588,13729.32,33236.406,3102.912,82837.062,882.028,6042.5,254.28,1498.77,841.184,1508.7,173.04,30756,1375.27,6406.56,3310.33,390.98,1406.34,618.31,530.25,1019.1,196.84,6.85,1.64,33.35,19.6,12.3,66.12,32.58,59.4,17.91,48.59,6.93
2014-01-11,27338.72,8432434.03,11601559.32,7352439.52,22613544.96,11766756.48,186476.567,462925.3174,257996.0434,407229.7996,59115.06881,147189.98,-11923.73,323696.1,95935.14,736282.44,288579.028,83021.764,31984.752,15732.656,8129,26448.912,2096.896,49047.408,857.752,5990,274.56,1610.4,889.296,1495.5,151.41,30921.44,1463.18,6611.22,3271.09,372.9,1847.43,883.3,697.5,1513.17,285.95,6.85,2.87,21.75,16.17,13.53,62.7,21.72,57.75,9.95,49.72,20.02
2014-01-12,27051.76,8120648.95,11436141.6,7156208.76,21004173.12,11337918.09,185275.1242,471541.6669,264015.0308,408331.0665,60122.98474,150623.6,-8294.65,329721,97935.34,749986.53,294596.244,84958.48,32071.248,15591.356,8267.6,26520.48,2078.08,49883.202,1157.156,5811.25,283.92,1623.21,921.015,1522.5,148.32,30893.28,1373.78,7208.73,3270,364.99,2011.23,1000.67,753.5,1662.81,481.46,4.11,2.05,24.65,18.62,11.07,65.55,30.77,74.25,9.95,29.38,11.55
2014-01-13,28483.16,8092785.41,11463686.52,7173266.5,22531734.72,11308673.86,183940.1878,482854.9429,285566.6342,446542.9501,67536.7663,162919.84,167.44,337631.7,105101.02,767980.35,316150.584,91894.112,35072.496,18021.088,9287.08,29002.302,2401.92,56034.306,1418.412,6022.5,322.92,1797.06,880.566,1473.9,147.29,29142.08,1358.88,6185.16,3225.31,363.86,2035.8,969.21,743.25,1606.05,555.94,5.48,2.46,31.9,16.66,9.84,50.16,14.48,67.65,3.98,46.33,13.86
2014-01-14,29920.68,7984609.38,11247419.04,7043687.84,21771171.84,11162612.14,163515.3794,430811.4709,233923.565,402829.3033,50195.36487,133456.39,-17977.96,313792.5,98884.34,685205.19,285552.54,75275.402,32957.424,16966.676,7190.04,26163.144,2170.912,41646.33,1675.044,5888.75,380.64,1864.77,842.93,1484.1,165.83,30456.8,1469.14,7933.68,3381.18,438.44,1984.32,977.68,715.5,1505.43,566.58,5.48,0.82,24.65,21.56,11.07,57,12.67,61.05,1.99,51.98,6.16
2014-01-15,29010.16,7789536.35,10942816.56,6892464.38,21097461.12,10894234.83,179177.1346,480871.2304,292962.9678,502995.5538,74941.33264,167139.33,4249.7,350254.8,113528.14,764825.67,327839.932,94274.094,41152.512,22512.544,10734.68,32668.776,2880.544,62177.976,1834.572,5770,321.36,1802.55,692.192,1397.7,176.13,29117.44,1333.55,7659.09,3166.45,360.47,2219.49,1134.98,794,1795.68,566.58,9.59,1.64,20.3,15.68,7.38,42.18,27.15,52.8,13.93,41.81,15.4
2014-01-16,27931.68,6862625.6,9831274.44,6188143.3,18132509.76,9631923.22,179653.7772,454383.9292,249478.5847,463449.6827,63327.06946,142330.58,-11384.1,330962.1,102197.08,722697.03,295118.936,80280.844,37917.072,20421.304,9071.04,30100.392,2612.96,52541.388,2285.412,5988.75,385.32,2058.75,686.178,1411.5,181.28,28161.76,1351.43,4729.05,3178.44,416.97,1896.57,1021.24,699.5,1647.33,533.33,10.96,3.28,24.65,17.15,8.61,39.9,18.1,41.25,13.93,39.55,12.32
2014-01-17,26643.76,6192107.33,8990787,5717771.18,16028448,8717598.13,178255.3259,424433.9907,277874.4561,414328.8856,80360.76741,158531.25,-539.63,309147.3,89331.56,650799.03,283837.848,89418.75,30758.304,14746.068,4733.08,26910.072,2504.128,66674.484,2679.608,6442.5,438.36,2536.38,755.824,1553.1,214.24,33334.4,1627.08,4882.68,3987.22,502.85,1974.96,1114.41,724.75,1759.56,535.99,8.22,1.23,49.3,25.97,13.53,57,50.68,62.7,7.96,37.29,10.01
2014-01-18,30062.12,8326337.2,11538848.88,7282544.26,22354771.2,11635162.66,211453.9302,504135.194,303757.5672,496009.7353,86710.73974,173297.24,8274.63,367199.7,103036.58,773007,327383.396,97747.432,36822,17052.084,5107.08,32215.05,2895.744,71943.066,2028.78,5793.75,352.56,2099.01,749.131,1562.4,194.67,32637.44,1653.9,4096.71,4063.52,447.48,2595.06,1482.25,957.5,2334.9,754.11,9.59,4.1,42.05,22.05,15.99,64.41,18.1,54.45,15.92,48.59,13.09
2014-01-19,29940.4,7896441.13,11036170.08,6973630.6,21364975.68,11060593.33,208675.0141,483852.3852,260559.0509,439687.2116,60825.26432,148652.25,-7553,352426.2,94540.84,741907.32,300389.364,83846.55,32640.816,13680.98,3582.48,28557.018,2323.264,50466.24,1849.6,5628.75,397.8,1980.06,711.398,1471.5,166.86,31382.56,1607.71,3752.19,3753.96,440.7,2449.98,1270.5,926,2124.63,534.66,5.48,3.69,26.1,12.25,12.3,54.72,19.91,67.65,9.95,49.72,14.63
2014-01-20,29745.92,7780544.94,10919541.36,6844317.16,21217179.84,10892722.48,195927.0738,449078.9728,246507.5335,399819.5703,57015.28092,140636.02,-12065.69,327098.1,87086.08,688587.57,276703.132,79325.036,29681.184,12463.288,3358.08,25967.718,2116.48,47304.666,1992.944,5667.5,368.16,1850.13,734.29,1581.3,169.95,32348.8,1565.99,4347.54,4023.19,436.18,2287.35,1202.74,838.75,1959.51,571.9,12.33,2.46,31.9,22.05,4.92,56.43,27.15,70.95,3.98,50.85,13.86
2014-01-21,30259.32,7831912.48,11009609.52,6935732.62,21322946.88,10975131.4,203942.3132,472319.8714,256803.1799,438730.9158,59181.74207,146509.13,-7219.94,344026.2,92596.12,724224,294210.036,82637.734,32569.824,14029.52,3485.68,28494.9,2382.464,49102.632,2051.9,6047.5,399.36,2600.43,877.365,1652.1,202.91,32748.32,1685.19,4351.32,4211.76,496.07,2509.65,1320.11,945.5,2195.58,655.69,9.59,0.82,30.45,23.52,4.92,55.29,23.53,54.45,5.97,53.11,13.86
2014-01-22,29979.84,7622800.33,10847884.32,6750658.9,20855874.24,10693952.01,211148.1595,491501.325,278990.4178,455196.7902,59361.03541,159167.6,1053.78,357997.5,97506.1,753635.25,309810.932,89777.68,33792.192,14117.44,3496.24,29564.388,2397.376,49251.312,1841.508,5592.5,413.4,2066.07,802.675,1605.9,170.98,30706.72,1503.41,4123.98,3685.29,452,2638.35,1310.43,981.25,2159.46,687.61,6.85,3.28,26.1,19.11,12.3,45.6,25.34,52.8,7.96,46.33,7.7
2014-01-23,28505.6,6737674.72,9638706.48,6063655.44,17626378.56,9483948.34,204115.4333,474597.5428,268562.776,428387.5327,60160.38486,153218.84,-3336.97,345685.2,96749.82,727716.09,307407.86,86422.312,31801.968,13765.132,3543.32,27823.068,2337.568,49914,1796.424,5431.25,524.16,1888.56,736.424,1554.6,167.89,29289.92,1466.16,4533.03,3460.75,533.36,2129.4,1120.46,789,1750.53,605.15,10.96,2.05,42.05,15.68,11.07,40.47,16.29,51.15,5.97,35.03,8.47
2014-01-24,28365.52,6161499.02,8959718.04,5616229.3,16016026.56,8705853.95,206433.4451,472991.6403,264578.9128,436422.6156,63029.07824,150945.78,-4440.8,344515.5,97761.6,725254.17,310622.684,85140.204,32398.464,14175.844,3712.28,28344.96,2407.296,52293.942,2076.176,6135,457.08,2183.19,790.259,1785.3,219.39,34316.48,1802.9,5076.81,4393.79,487.03,2089.62,1052.7,792.5,1738.92,613.13,5.48,1.23,34.8,21.07,12.3,52.44,41.63,56.1,9.95,42.94,13.09
2014-01-25,33072.48,8404807.79,11564992.92,7457804.84,21835807.68,11780868.27,227832.8976,531997.7475,300793.669,505594.6769,76326.66735,171606.24,8447.53,387494.1,105939.06,815729.73,336605.304,96793.632,37533.552,16130.808,4495.48,32837.616,2739.296,63327.06,2509.676,6170,425.88,2342.4,817.419,1807.5,236.9,35275.68,1820.78,4797.63,4701.17,476.86,2645.37,1350.36,1026.75,2310.39,663.67,6.85,0.82,43.5,20.09,11.07,54.72,21.72,61.05,11.94,41.81,13.09
2014-01-26,34551.48,8444092.24,11565247.2,7533301.76,21612722.88,11833611.29,233507.6421,567050.8233,305089.5214,584813.3398,76565.72513,174057.3,8748.74,413025.9,114274.2,869477.97,363089.16,98176.14,43414.464,18804.832,4509.56,37982.7,3193.376,63525.654,2773.244,6197.5,457.08,2481.48,809.95,1840.8,207.03,35675.2,1859.52,4983.66,4891.92,468.95,2769.39,1454.42,1084.25,2534.85,641.06,8.22,3.28,29,18.13,17.22,58.14,30.77,66,17.91,59.89,11.55
